cue,target,correct
DC,--<--,z
CC,--<--,z
DC,--<--,z
NC,>><>>,z
NC,<<<<<,z
CC,--<--,z
CC,>><>>,z
NC,--<--,z
SC,--<--,z
NC,<<<<<,z
DC,--<--,z
CC,>><>>,z
NC,--<--,z
DC,>><>>,z
NC,>><>>,z
CC,>><>>,z
DC,--<--,z
CC,>><>>,z
CC,<<<<<,z
SC,--<--,z
DC,--<--,z
CC,--<--,z
DC,<<<<<,z
CC,--<--,z
NC,>><>>,z
SC,--<--,z
SC,>><>>,z
CC,<<<<<,z
SC,>><>>,z
DC,>><>>,z
NC,--<--,z
NC,<<<<<,z
SC,<<<<<,z
SC,<<<<<,z
DC,<<<<<,z
SC,>><>>,z
SC,>><>>,z
DC,<<<<<,z
SC,--<--,z
NC,--<--,z
NC,>><>>,z
DC,<<<<<,z
NC,>><>>,z
NC,<<<<<,z
NC,<<<<<,z
CC,<<<<<,z
CC,--<--,z
DC,>><>>,z
NC,--<--,z
SC,>><>>,z
CC,>><>>,z
DC,>><>>,z
SC,<<<<<,z
SC,<<<<<,z
SC,--<--,z
CC,<<<<<,z
DC,>><>>,z
DC,<<<<<,z
SC,<<<<<,z
CC,<<<<<,z
DC,<<><<,m
NC,<<><<,m
DC,-->--,m
SC,-->--,m
DC,>>>>>,m
NC,-->--,m
CC,>>>>>,m
NC,<<><<,m
DC,<<><<,m
NC,<<><<,m
NC,>>>>>,m
CC,>>>>>,m
DC,>>>>>,m
DC,-->--,m
CC,-->--,m
CC,>>>>>,m
DC,>>>>>,m
NC,<<><<,m
CC,<<><<,m
NC,>>>>>,m
SC,>>>>>,m
CC,<<><<,m
SC,>>>>>,m
SC,>>>>>,m
NC,-->--,m
SC,<<><<,m
DC,-->--,m
SC,-->--,m
SC,<<><<,m
CC,-->--,m
NC,>>>>>,m
CC,>>>>>,m
DC,>>>>>,m
SC,-->--,m
DC,<<><<,m
DC,>>>>>,m
DC,<<><<,m
SC,>>>>>,m
SC,>>>>>,m
NC,>>>>>,m
CC,<<><<,m
NC,>>>>>,m
CC,>>>>>,m
DC,-->--,m
NC,<<><<,m
SC,<<><<,m
SC,-->--,m
SC,<<><<,m
DC,<<><<,m
NC,-->--,m
DC,-->--,m
CC,<<><<,m
CC,-->--,m
SC,<<><<,m
NC,-->--,m
CC,-->--,m
CC,-->--,m
SC,-->--,m
CC,<<><<,m
NC,-->--,m
